"PlotNumber","FieldNumber","ProjectID","FSRegionDistrict","Date","SiteSurveyor","PlotRepresenting","Location","Ecosection","NtsMapSheet",Longitude,Latitude,"UTMZone","UTMEasting","UTMNorthing","LocationAccuracy","AirPhotoNum","XCoord","YCoord","Zone","SubZone","SiteSeries","SiteModifier1","SiteModifier2","TransDistrib","RealmClass","MapUnit","SnowCoverregime","MoistureRegime","NutrientRegime","SuccessionalStatus","StructuralStage","StructuralStageMod","StandAge","Elevation","SlopeGradient","Aspect","MesoSlopePosition","SurfaceShape","SurfaceTopographyType","SurfaceTopographySize","WaterSource","Photo","Exposure1","Exposure2","SiteDisturbance1","SiteDisturbance2","SiteDisturbance3","SubstrateDecWood","SubstrateBedRock","SubstrateRocks","SubstrateMineralSoil","SubstrateOrganicMatter","SubstrateWater","SiteNotes","SoilSurveyor","BedrockGeology1","BedrockGeology2","BedrockGeology3","CoarseFragLith1","CoarseFragLith2","CoarseFragLith3","TerrainTextureSurf","SurficialMaterialSurf","SurfaceExpSurf","GeoMorProSurf","TerrainTextureSubSurf","SurficialMaterialSubSurf","SurfaceExpSubSurf","GeoMorProSubSurf","FloodingRegimeFreq","MoistureRegimeSub","FloodingRegimeDur","SoilDrainage","SeepageDepth","RootRestrictingType","RootRestrictingDepth","RootZoneParticleSize","RootingDepth","SoilClassSubGroup","SoilClassGroup","HumusForm","HumusFormPhase","pHMethodCodeMineral","pHMethodCodeOrganic","SoilNotes","VegSurveyor","StrataCoverTree","StrataCoverShrub","StrataCoverHerb","StrataCoverMoss","VegNotes","HydroGeoSystem","HydroGeoSubSystem","SpeciesListComplete","Temporary","Flag","SV_PolygonNumber","SV_FloodPlain","SV_StandAgeEstMeas","SV_StandHeight","SV_StandHeightEstMeas","SV_CanopyComposition","SV_SoilDepth","SV_RootZoneTexture","SV_PercentCoarseFrags","SV_GleyingMottlingCM","SV_WaterTableCM","SV_FullCruiseCard","SV_AhorizonType","SV_AhorizonDepth","ActiveLayerDepth"
"9624781",,"BEC",,9/25/1997 0:00:00,"IR/JD","SPRUCE-MACKENZIE'S WILLOW-HORSETAIL","LAWSON RD.-S. OF POWERLINE","BUB","93L.06",121,54,,626800.0,6.0593e+06,,"97019-5-41",,,"SBS","dk","07",,,,"Ws",,,"6","D","MS","3",,,350,0.00,999,"LV",,,,,,"CA",,,,,6.00,0.00,0.00,0.00,94.00,0.00,"WILLOW AND ALDER ARE DOMINANT; SPRUCE COVER < 10%; VERY OLD DOWNED WILLOW WITH MOSSES, LIVERWORTS GROWING ON TOP OF IT ",,,,,,,,,,,,,,,,,,,"P",18,"W",15,"FC",15,"R","HG","TD",,,,"CHARCOAL IN Hh HORIZON, ALSO LIGNEOUS MATERIAL",,9.00,70.00,35.00,20.00,,,,0,,0,,0,,,,,,,,,,,"No",,
"9624804",,"BEC",,10/8/1997 0:00:00,"IR JN","SPRUCE-ASPEN-COTTONWOOD-TWINBERRY","BRUCE KERRS SECTION, TO S. OF POWER RIGHT OF WAY","BUB","93L.06",121,54,,623100.0,6.0557e+06,,"97019-3-24",,,"SBS","dk","06",,,,"Fm",,,"5","D","MEC","6",,,680,0.00,999,"LV",,,,,,,,,,,5.00,0.00,0.00,0.00,95.00,0.00,"NOTE PRESENCE OF GYMNDRY, OCCASIONALLY OPLOHOR",,,,,,,,,,,,,,,,,,,"I-",,,,"FC",25,"GLD","GL","MD",,,,,,35.00,55.00,27.00,10.00,,,,0,,0,,0,,,,,,,,,,,"No",,
"Cb13011",,"BEC",,7/17/2013 0:00:00,"Whm/dm/dt","Saxitri-oxytarc","End of west arm near gravel pit",,,105.240051269531,69.1012420654297,,,,,,,,"SBS","dk","01",,,,"Af",,,"2","C",,"2d",,,16,,,"CR","CV","smo",,"P",,"WI",,,,,0.00,0.00,35.00,10.00,55.00,,"Lots of hare shit. Winter habitat?","Dt","ls",,,"ls","gn",,"s","M","b","X",,,,,"X",,,"r",,"K",24,"S",15,"BR","SC","RD",,,,"Assuming permafrost at about 1 m","Whm dm",0.00,0.00,35.00,10.00,,"5",,0,,0,,0,,,,,,,,,,,"No",,
"HLB056",,"BEC",,,,"Hygric",,,,,,,,,,,,,"MH","whp","02",,,,,,,"7","C",,,,,,21.00,305,,,,,,,,,,,,2.00,0.00,0.00,0.00,98.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,"FL",,"G","G",,,,,,,3.40,46.80,29.10,45.20,,,,0,,0,,0,,,,,,,,,,,"No",,
"L153",,"FMR2",,,,"Sw - Currant - Horsetail","ALINE",,"94N",125,59,,,,,,,,"BWBS","dk2","08",,,,,,,"6","E","OS",,,,380,42.00,,,,,,,,"S",,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,"W",,,,,,"FT","FT",,,,,,,40.00,10.00,60.00,5.00,,,,0,,0,,0,,,,,,,,,,,"No",,
"L185",,"FMR2",,,,"Sw - Currant - Horsetail","SITE A",,"94N",124,59,,,,,,,,"BWBS","dk2","08",,,,,,,"4","D",,,,,280,0.00,999,"LV",,"ST",,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,"FT","FT",,,,,,,40.00,30.00,40.00,30.00,,,,0,,0,,0,,,,,,,,,,,"No",,
"MAHA05",,"CFEC",,,,"Hygric",,,,,,,,,,,,,"MH","mmp","02",,,,,,,"6","C",,,,,850,1.00,,,,,,,,,,,,,2.00,0.00,0.00,0.00,98.00,0.00,,,,,,,,,,,,,,,,,,,,,,,45,,45,"TY","FO","R.UR",,,,,,12.20,37.60,56.10,40.00,,,,0,,0,,0,,,,,,,,,,,"No",,
"QCIL6",,"BEC",,6/12/1981 0:00:00,,"just below alpine, MH zone","BCFS heli-recce (Formerly l-12), SW of Mt. Carl",,"103B/1",131,52,,,,,,,,"MH","mmp","01",,,,,,,,,,,,,750,40.00,130,"UP",,,,,,,,,,,10.00,0.00,2.00,1.00,87.00,0.00,"Moss understory predom w/ small <10cm herbs.  Seepage water near surf in Vevi areas.  Sulfur smell in some wet Vevi areas.  3 pits dug, variable soil.",,"zlan",,,,,,,"C","b",,,,,,,,,"m",1,,,,70,,"HP",,,,,"Bedrock type: siltstone colluvium, Yakoun (andesite, tuff, vol ss.).  Humic podzol of Gley s.",,99.00,0.10,5.60,20.90,"POAL, Atr. sel., RHyl, Lobaria.",,,0,,0,,0,,,,,,,,,,,"No",,
"QCIQ10",,"BEC",,1/10/1981 0:00:00,,"TSME - parkland","TR 3 Yakoun Lk. 39/6-17 III, S of Parrish Mtn/ Sandstone Cr.",,"103F/8",132,53,,,,,"8745",4.60,14.80,"MH","whp2","01",,,,,,,,,,,,,660,55.00,110,"UP",,,,,,,,,,,10.00,0.00,5.00,5.00,80.00,0.00,"Snow on ground.",,"slgk",,,,,,,"C","v",,,"R",,,,,,"r",,,65,,65,"GL","BR",,,,,"Bedrock type: Longarm f. (siltstone, grayw., f. congl., m. volc.)",,50.00,4.00,15.00,32.00,"More CHNO below.  Lobaria common.",,,0,,0,,0,,,,,,,,,,,"No",,
"QCIQ14",,"BEC",,2/10/1981 0:00:00,,"CHNO - TSME / CAST 'enchanted forest'","T4- Yakoun Lk. 39/6-17 ST#223, N of Sandstone Cr. HCy1-8.9M",,"103F/8",132,53,,,,,"8774",8.40,17.40,"MH","mmp1","01",,,,,,,"6",,,,,,625,30.00,220,"MD",,,,,,"WI",,,,,5.00,0.00,0.00,0.00,95.00,0.00,"Wind/snow.",,,,,,,,,"S","v",,,,,,,,,"i",35,,35,,30,"O","G",,,,,"Bedrock type: Massetf. TMd. Feldspar porphyry.",,95.00,65.00,3.00,95.00,"Normal tree layers don't really apply.  Misc livers: 35%.",,,0,,0,,0,,,,,,,,,,,"No",,
"R0126",,"BEC",,7/19/1980 0:00:00,"DM","Sw - Currant - Horsetail","BESA River; 1/4 mile down from confluence @ Nevis Creek",,"94G",123,57,,,,,,,,"BWBS","mw2","05",,,,,,,"6","D",,,,,1000,0.00,999,"LV",,,,,,,,,,,5.00,0.00,0.00,0.00,95.00,0.00,,,,,,,,,,,,,,,,,,,,"I",,,,"L",30,"GL","R","FR",,,,"F includes 5% red rotten wood; Cgjk Frozen at 50cm; charcoal at 55 cm, probably brought in in alluvium; mod fizz at 20 cm, strong fizz at 40 cm",,35.00,20.00,95.00,40.00,,,,0,,0,,0,,,,,,,,,,,"No",,
"R3027",,"BEC",,,,"Sw - Currant - Horsetail","WARNEFOR",,"94F",125,57,,,,,,,,"BWBS","dk1","08",,,,,,,"5","E",,,,,830,0.00,,"LV",,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,"R",,,,"SS",0,"O","HR","O.HR",,,,,,50.00,32.00,30.00,99.00,,,,0,,0,,0,,,,,,,,,,,"No",,
"R3039",,"BEC",,,,"Sw - Currant - Horsetail","FOX RIVE",,"94F",130.041702270508,57.4333305358887,,,,,,,,"BWBS","dk1","08",,,,,,,"5","D",,,,,870,0.00,,"LV",,,,,,,,,,,20.00,0.00,0.00,0.00,80.00,0.00,,,,,,,,,,,,,,,,,,,,"R",,,,,27,,"R","O.HR",,,,,,40.00,35.00,75.00,100.00,,,,0,,0,,0,,,,,,,,,,,"No",,
