"PlotNumber","MyLayer","Species","Cover"
"5760463","C","DELPGLA",1.00
"5760463","C","OSMOBER",3.00
"5760463","C","GERARIC",1.00
"5760463","C","ELYMUS",3.00
"5760463","C","EQUIPRA",60.00
"5760463","C","MERTPAN",3.00
"5760463","C","EQUIARV",5.00
"5760808","C","EMPENIG",1.00
"5760808","C","MERTPAN",3.00
"5760808","C","VACCVIT",3.00
"5760808","C","PLATOBT",2.00
"5760808","C","EQUIPRA",30.00
"5760808","C","ACHIMIL",1.00
"5760808","C","SENETRI",2.00
"5760808","C","GEUMMAC",2.00
"5760808","C","SANGSTI",3.00
"5760808","C","STREAMP",2.00
"5760808","C","HERAMAX",2.00
"5760808","C","LINNBOR",3.00
"5760808","C","RUBUPUB",7.00
"5760808","C","DELPGLA",1.00
"5760808","C","CORNCAN",3.00
"5760808","C","RUBUARC",1.00
"5760808","C","RUBUCHA",3.00
"5760808","C","CAREDIS",5.00
"5760808","C","OSMOBER",2.00
"5760808","C","PETAFRI",2.00
"5760808","C","MITENUD",2.00
"579279","C","EMPENIG",25.00
"579279","C","PHYLGLA",2.00
"579279","C","HARRSTE",5.00
"579279","C","CARESTY",0.50
"579279","C","CALANUT",5.00
"579279","C","COPTASP",1.00
"579279","C","LIGUCAL",0.50
"579279","C","PEDIORN",0.50
"579279","C","LUETPEC",2.00
"579279","C","STRELAN",0.50
"579279","C","NEPHCRI",0.50
"579279","C","RUBUPED",2.00
"579279","C","CASSIOP",1.00
"579279","C","GENTDOU",0.20
"579279","C","TEPHNEW",1.00
"579279","C","STRUSPI",1.00
"8229723","C","CALAMAG",0.10
"8229723","C","RANUNCU",0.10
"8229723","C","ACTARUB",0.10
"8229723","C","LYCOANN",0.50
"8229723","C","CORNCAN",1.00
"8229723","C","PYROASA",0.10
"8229723","C","NEOTCOR",0.10
"8229723","C","PETAFRI3",0.10
"8229723","C","GALIBOR",0.10
"8229723","C","EQUIARV",60.00
"8229723","C","PLATANT",0.10
"8229723","C","CHAMANG",0.10
"8229723","C","MERTPAN",1.00
"8229723","C","GALITRF",0.10
"8229723","C","EQUIPRA",1.00
"8229723","C","ORTHSEC",0.10
"8229723","C","MITENUD",3.00
"8229723","C","RUBUPUB",0.50
"8229723","C","LINNBOR",1.00
"8428935","C","LINNBOR",1.00
"8428935","C","MONEUNI",0.50
"8428935","C","ORTHSEC",1.00
"8428935","C","EQUIPRA",1.00
"8428935","C","PETAFRI3",5.00
"8428935","C","EQUISCI",0.50
"8428935","C","ARNICOR",0.50
"8428935","C","RUBUARC",0.10
"8428935","C","OSMOBER",1.00
"8428935","C","ACTARUB",1.00
"8428935","C","PLATOBT",0.10
"8428935","C","EURYCON",1.00
"8428935","C","MERTPAN",5.00
"8428935","C","CHAMANG",0.50
"8428935","C","DELPGLA",1.00
"8428935","C","LEYMINN",3.00
"8428935","C","LATHOCH",0.50
"8428935","C","FRAGVIR",2.00
"8428935","C","MITENUD",3.00
"8428935","C","CORNCAN",5.00
"8428935","C","ASTRAME",0.50
"8428935","C","EQUIARV",65.00
"8428935","C","GALITRF",0.10
"8428942","C","POLEACU",1.00
"8428942","C","DELPGLA",0.50
"8428942","C","PETAFRI3",1.00
"8428942","C","THALOCC",0.50
"8428942","C","RUBUARC",0.10
"8428942","C","LINNBOR",0.10
"8428942","C","OSMODEP",0.10
"8428942","C","MITENUD",2.00
"8428942","C","CHAMANG",0.50
"8428942","C","CALACAN",6.00
"8428942","C","HERAMAX",1.00
"8428942","C","SENETRI",1.00
"8428942","C","CORNCAN",2.00
"8428942","C","ARNICOR",1.00
"8428942","C","EQUISCI",1.00
"8428942","C","MONEUNI",0.10
"8428942","C","RUBUPUB",0.50
"8428942","C","MERTPAN",10.00
"8428942","C","ACONDEL",0.50
"8428942","C","EQUIARV",35.00
"8428942","C","LEYMINN",4.00
"8428942","C","ACHIMIL",1.00
"8428942","C","POA_PAL",1.00
"8428963","C","LATHOCH",1.00
"8428963","C","PETAFRI3",2.00
"8428963","C","MERTPAN",25.00
"8428963","C","MITENUD",2.00
"8428963","C","RUBUARC",0.50
"8428963","C","EQUIARV",20.00
"8428963","C","FRAGVIR",6.00
"8428963","C","DELPGLA",1.00
"8428963","C","ARNICOR",0.50
"8428963","C","LEYMINN",20.00
"8428963","C","ACONDEL",0.10
"8428963","C","CORNCAN",15.00
"8428963","C","EPILOBI",0.10
"8428963","C","PYROCHL",0.10
"8428963","C","THALOCC",0.50
"8428963","C","GALIBOR",0.10
"8428963","C","ARNILAT",0.10
"8428963","C","EQUISCI",20.00
"8428963","C","CHAMANG",5.00
"8428963","C","ORTHSEC",0.10
"8428963","C","SYMPCII",0.10
"8428963","C","OSMOBER",0.10
"8428963","C","LINNBOR",4.00
"8428963","C","GALITRD",0.10
"8428970","C","EQUISCI",10.00
"8428970","C","ORTHSEC",0.50
"8428970","C","MONEUNI",0.50
"8428970","C","LEYMINN",10.00
"8428970","C","PETAFRI3",5.00
"8428970","C","ARNICOR",0.50
"8428970","C","ASTRAME",0.50
"8428970","C","RUBUPUB",1.00
"8428970","C","EQUIARV",15.00
"8428970","C","CHAMANG",0.50
"8428970","C","NEOTBAN",0.50
"8428970","C","OSMODEP",0.50
"8428970","C","GENTPRS",0.50
"8428970","C","CORNCAN",10.00
"8428970","C","LINNBOR",5.00
"8428970","C","GOODREP",0.50
"8428970","C","MERTPAN",5.00
"8428970","C","DELPGLA",0.50
"8428970","C","MITENUD",5.00
"8428975","C","ORTHSEC",5.00
"8428975","C","MITENUD",5.00
"8428975","C","LEYMINN",1.00
"8428975","C","EQUISCI",15.00
"8428975","C","PETAFRI3",0.50
"8428975","C","COPTLAP",1.00
"8428975","C","EQUIARV",15.00
"8428975","C","CALAMAG",1.00
"8428975","C","BISTVIV",0.50
"8428975","C","PYROASA",0.50
"8428975","C","ACONDEL",0.50
"8428975","C","MONEUNI",2.00
"8428975","C","CHAMANG",0.50
"8428975","C","GENTPRS",0.50
"8428975","C","CORNCAN",1.00
"8428975","C","RUBUPUB",2.00
"8428975","C","DELPGLA",0.50
"8428975","C","THALOCC",0.50
"8428975","C","FRAGVIR",0.50
"8428975","C","LINNBOR",5.00
"8428975","C","MERTPAN",10.00
"8529415","C","STREAMP",0.10
"8529415","C","EQUISCI",5.00
"8529415","C","RUBUPUB",7.00
"8529415","C","PETAFRI3",1.00
"8529415","C","DRYOEXP",0.10
"8529415","C","CORNCAN",20.00
"8529415","C","CARECOI",4.00
"8529415","C","MITENUD",0.50
"8529415","C","CALAMAG",12.00
"8529415","C","VIOLREN",0.10
"8529415","C","PLATOBT",0.10
"8529415","C","MERTPAN",0.50
"8529415","C","EQUIPRA",3.00
"8529415","C","EQUIARV",30.00
"8529649","C","GYMNDRY",25.00
"8529649","C","CAREBRU",0.50
"8529649","C","PETAFRI3",2.00
"8529649","C","MITENUD",15.00
"8529649","C","EQUISYL",40.00
"8529649","C","PYROCHL",1.00
"8529649","C","STREAMP",0.50
"8529649","C","PYROASA",2.00
"8529649","C","MOEHLAT",0.50
"8529649","C","CALACAN",8.00
"8529649","C","VACCVIT",0.20
"8529649","C","CHAMANG",4.00
"8529649","C","PETAFRI4",0.10
"8529649","C","MERTPAN",2.00
"8529649","C","LATHOCH",2.00
"8529649","C","ACTARUB",0.20
"8529649","C","CORNCAN",2.00
"8529649","C","MAIACAN",0.10
"8529649","C","VACCCAE",4.00
"8529649","C","ORTHSEC",1.00
"8529649","C","GALITRF",0.50
"8529649","C","STELCAL",1.00
"8529649","C","LINNBOR",8.00
"8529649","C","RUBUPUB",4.00
"8529649","C","CORATRI",0.10
"8529649","C","LYCOANN",3.00
"8529670","C","CHAMANG",2.00
"8529670","C","EQUISYL",1.00
"8529670","C","PARNPAL",0.10
"8529670","C","MONEUNI",0.30
"8529670","C","CORNCAN",1.00
"8529670","C","EQUISCI",1.00
"8529670","C","PETAFRI3",4.00
"8529670","C","ARCTRBR",1.00
"8529670","C","ACHIMIL",0.30
"8529670","C","MITENUD",1.00
"8529670","C","ASTRAGA",0.50
"8529670","C","NEOTBOR",0.20
"8529670","C","GENTPRS",0.20
"8529670","C","LEYMINN",30.00
"8529670","C","MERTPAN",2.00
"8529670","C","FRAGVIR",0.30
"8529670","C","SENESHE",0.50
"8529670","C","RUBUPAR",1.00
"8529670","C","VICIAME",0.50
"8529670","C","EQUIARV",3.00
"8529670","C","PLATOBT",2.00
"8529670","C","VIOLREN",0.20
"8529670","C","EQUIPRA",4.00
"8529670","C","DELPGLA",1.00
"8529670","C","PEDILAB",1.00
"8529670","C","CAREX",4.00
"8529670","C","LINNBOR",3.00
"8529670","C","ARNICOR",1.00
"8529670","C","VACCVIT",5.00
"8529675","C","LEYMINN",1.00
"8529675","C","POLEACU",0.20
"8529675","C","PARNPAL",1.00
"8529675","C","HEDYALP",1.00
"8529675","C","MITENUD",2.00
"8529675","C","SENELUG",0.50
"8529675","C","PLATOBT",1.00
"8529675","C","MERTPAN",2.00
"8529675","C","EQUIARV",3.00
"8529675","C","EQUIPRA",7.00
"8529675","C","EQUISCI",5.00
"8529675","C","ACONDEL",5.00
"8529675","C","BISTVIV",0.10
"8529675","C","LINNBOR",5.00
"8529675","C","ORTHSEC",1.00
"8529675","C","VIOLREN",1.00
"8529675","C","RUBUARC",4.00
"8529675","C","GENTPRS",0.10
"8529675","C","ACHIMIL",0.10
"8529675","C","ARCTLAT",1.00
"8529675","C","RANUNCU",0.10
"8529675","C","SYMPCII",0.20
"8529675","C","ARCTRBR",1.00
"8529675","C","PETAFRI3",0.50
"8529675","C","MONEUNI",0.10
"8529675","C","CHAMANG",0.50
"8529675","C","VICIAME",0.50
"8529675","C","CARECOI",1.00
"8529676","C","LINNBOR",10.00
"8529676","C","GOODREP",1.00
"8529676","C","CAREX",1.00
"8529676","C","PETAFRI",1.00
"8529676","C","MITENUD",1.00
"8529676","C","EURYSIB",1.00
"8529676","C","EQUIPRA",2.00
"8529676","C","PLATOBT",1.00
"8529676","C","PETAFRI3",3.00
"8529676","C","LEYMINN",1.00
"8529676","C","ORTHSEC",2.00
"8529676","C","FRAGVIR",0.30
"8529676","C","NEOTBOR",0.10
"8529676","C","ARTEMIS",1.00
"8529676","C","CHAMANG",2.00
"8529676","C","EQUIARV",60.00
"8529676","C","PYROCHL",1.00
"8529676","C","MONEUNI",1.00
"8529676","C","MERTPAN",3.00
"8529676","C","EQUISCI",0.50
"8630146","C","LINNBOR",1.00
"8630146","C","GALIBOR",0.10
"8630146","C","EQUISYL",1.00
"8630146","C","ORTHSEC",0.10
"8630146","C","PETAFRI3",0.10
"8630146","C","RUBUARC",0.10
"8630146","C","POLEACU",0.10
"8630146","C","CALASTR",0.50
"8630146","C","VACCVIT",30.00
"8630146","C","CALACAN",3.00
"8630146","C","TRIEEUR1",0.10
"8630146","C","CHAMANG",1.00
"8630146","C","CORNCAN",10.00
"8630146","C","MERTPAN",2.00
"8630146","C","DENDDEN",0.10
"8630146","C","CAREDIS",1.00
"8630146","C","PYROASA",0.10
"9003002","C","ACHIMIL",0.50
"9003002","C","ANEMPAR",0.50
"9003002","C","CYPRIPE",0.50
"9003002","C","ASTER",0.50
"9003002","C","PETAFRI3",2.00
"9003002","C","PYROASA",1.00
"9003002","C","CORNCAN",1.00
"9003002","C","RUBUPUB",5.00
"9003002","C","LINNBOR",0.50
"9003002","C","CALACAN",4.00
"9003002","C","HEDYALP",1.00
"9003002","C","ELYMALA",10.00
"9003002","C","LEYMINN",2.00
"9003002","C","FRAGVIR1",0.50
"9003002","C","ANEMMUL",0.50
"9003043","C","CORNCAN",2.00
"9003043","C","ARNILAT",1.00
"9003043","C","PETAFRI3",0.50
"9003043","C","LINNBOR",1.00
"9003043","C","RUBUPED",0.50
"9003043","C","CALACAN",5.00
"9003043","C","MERTPAN",5.00
"9003043","C","ORTHSEC",0.50
"9003043","C","MITENUD",1.00
"9003043","C","EQUIPRA",2.00
"9003043","C","LEYMINN",10.00
"9003043","C","GALIBOR",0.50
"9003104","C","EQUIPRA",40.00
"9003104","C","MITENUD",5.00
"9003104","C","DRYOEXP",0.50
"9003104","C","LYCOANN",3.00
"9003104","C","CORNCAN",5.00
"9003104","C","RUBUPUB",3.00
"9003104","C","GYMNDRY",15.00
"9003104","C","MERTPAN",2.00
"9003104","C","MAIARAC",0.50
"9003104","C","DELPGLA",1.00
"9003104","C","STREAMP",0.50
"9003104","C","RANUNCU",1.00
"9003104","C","GALITRD",2.00
"9003104","C","CHAMANG",0.50
"9003104","C","EQUIARV",25.00
"9003104","C","ARALNUD",0.50
"961167","C","RUBUPUB",2.00
"961167","C","MERTPAN",2.00
"961167","C","EQUISYL",0.10
"961167","C","EQUIARV",18.00
"961167","C","LYSILAT",0.10
"961167","C","GEUMMAC",0.50
"961167","C","FRAGVIR",0.10
"961167","C","CORNCAN",1.00
"961167","C","OSMOBER",0.10
"961167","C","HERAMAX",0.50
"961167","C","PETAFRI4",0.50
"961167","C","CALACAN",1.00
"961167","C","MITENUD",0.50
"961167","C","ATHYFIL",0.50
"961167","C","STREAMP",1.00
"961167","C","CHAMANG",0.10
"961167","C","GALITRF",0.50
"961167","C","VICIAME",0.50
"961167","C","DELPGLA",0.50
"961167","C","TANAVUL",0.10
"961167","C","PETAFRI3",0.10
"9611965","C","CALACAN",1.00
"9611965","C","GYMNDRY",3.00
"9611965","C","ACTARUB",0.10
"9611965","C","PLATDIL",0.10
"9611965","C","EQUIARV",10.00
"9611965","C","CIRCALP",2.00
"9611965","C","ATHYFIL",1.00
"9611965","C","CANAMOD",2.00
"9611965","C","MAIARAC",2.00
"9611965","C","DELPGLA",0.10
"9611965","C","SANGSTI",1.00
"9611965","C","CINNLAT",5.00
"9611965","C","GALITRF",2.00
"9611965","C","OSMORHI",0.10
"9611965","C","PETAFRI3",3.00
"9611965","C","THALOCC",0.10
"9611965","C","PYROASA",1.00
"9611965","C","MAIASTE",10.00
"9611965","C","RUBUPUB",5.00
"9611965","C","MITENUD",1.00
"9611965","C","ANGEGEN",2.00
"9611965","C","TRIEEUR1",0.10
"9611967","C","STREAMP",2.00
"9611967","C","PYROASA",5.00
"9611967","C","EQUIARV",25.00
"9611967","C","OSMORHI",0.10
"9611967","C","CIRCALP",0.10
"9611967","C","LYCOANN",2.00
"9611967","C","SYMPCII",0.10
"9611967","C","LINNBOR",3.00
"9611967","C","CORNCAN",2.00
"9611967","C","ARALNUD",5.00
"9611967","C","CANAMOD",0.10
"9611967","C","CINNLAT",0.10
"9611967","C","MAIARAC",0.10
"9611967","C","ORTHSEC",0.10
"9611967","C","PETAFRI3",10.00
"9611967","C","GYMNDRY",0.10
"9611967","C","GALITRF",1.00
"9611967","C","CAREDIS",0.10
"9611967","C","ATHYFIL",0.10
"9611967","C","VIOLA",0.10
"9611967","C","DRYOEXP",0.10
"9611967","C","RUBUPUB",20.00
"9611967","C","EPILMIN",0.10
"9611967","C","MITENUD",0.10
"9611967","C","PETAFRI4",0.10
"9624781","C","CICUDOU",1.00
"9624781","C","CORNCAN",3.00
"9624781","C","PETAFRI",0.10
"9624781","C","CALACAN",1.00
"9624781","C","MITENUD",3.00
"9624781","C","LINNBOR",0.10
"9624781","C","EPILCIL",0.10
"9624781","C","EQUIARV",8.00
"9624781","C","CAREDIS",5.00
"9624781","C","GEUMMAC",0.10
"9624781","C","ATHYFIL",3.00
"9624781","C","ARALNUD",0.10
"9624781","C","RUBUPUB",5.00
"9624781","C","PYROCHL",0.10
"9624781","C","GYMNDRY",12.00
"9624781","C","GALITRF",0.10
"9624781","C","DRYOEXP",1.00
"9624781","C","STREAMP",0.10
"9624781","C","CHAMANG",0.10
"9624781","C","SCUTGAL",0.10
"9624781","C","RANUACR",0.10
"9624781","C","VIOLGLA",0.50
"9624804","C","EQUIARV",0.50
"9624804","C","CORNCAN",5.00
"9624804","C","PYROASA",0.20
"9624804","C","MITENUD",0.10
"9624804","C","LATHNEV",2.00
"9624804","C","GYMNDRY",10.00
"9624804","C","ORTHSEC",0.30
"9624804","C","GALITRF",0.20
"9624804","C","LINNBOR",0.10
"9624804","C","SYMPCII",0.10
"9624804","C","PETAFRI3",2.00
"9624804","C","CHAMANG",3.00
"9624804","C","CALACAN",5.00
"Cb13011","C","Saxitri",17.00
"Cb13011","C","Drabcin",1.00
"Cb13011","C","Saliarc",3.00
"Cb13011","C","POA_GLA",7.00
"Cb13011","C","Oxytarc",3.00
"Cb13011","C","Oxytmay",0.20
"Cb13011","C","Astralp",0.20
"Cb13011","C","Saxiopp",1.00
"Cb13011","C","Drabniv",0.20
"Cb13011","C","Stellon",0.20
"Cb13011","C","Dryaint",0.20
"Cb13011","C","SABURUB",0.20
"Cb13011","C","Oxytnig",0.50
"Cb13011","C","Drabalp",0.20
"HLB056","C","CORNCAN",4.00
"HLB056","C","CAREX",0.50
"HLB056","C","GENTDOU",0.20
"HLB056","C","EMPENIG",4.00
"HLB056","C","PHYLEMP",8.00
"HLB056","C","VACCCAE",4.00
"HLB056","C","MICRBOR",0.20
"HLB056","C","KALMMIC",4.00
"HLB056","C","NEPHCRI",4.00
"L153","C","EQUIARV",40.00
"L153","C","MITENUD",1.00
"L153","C","CARESTY",1.00
"L153","C","CORNCAN",1.00
"L153","C","ANEMRIC",1.00
"L153","C","EQUISCI",1.00
"L153","C","VIOLA",0.50
"L153","C","RUBUPUB",5.00
"L153","C","CARECOI",0.50
"L153","C","GLYCSTR",1.00
"L153","C","GALIBOR",1.00
"L153","C","CARETRS",1.00
"L185","C","CIRCALP",5.00
"L185","C","EQUIARV",20.00
"L185","C","ARALNUD",0.50
"L185","C","CORNCAN",10.00
"L185","C","MITELLA",1.00
"L185","C","CINNLAT",0.50
"L185","C","VIOLA",0.50
"L185","C","GALITRD",0.50
"L185","C","GOODREP",1.00
"L185","C","RUBUPUB",10.00
"L185","C","ORTHSEC",1.00
"MAHA05","C","STRUSPI",0.50
"MAHA05","C","NEPHCRI",2.00
"MAHA05","C","CORNCAN",2.00
"MAHA05","C","CARENIG",2.00
"MAHA05","C","VACCCAE",4.00
"MAHA05","C","CAREOBN",0.50
"MAHA05","C","RUBUPED",2.00
"MAHA05","C","COPTASP",0.50
"MAHA05","C","PHYLEMP",42.00
"QCIL6","C","STRELAN",1.00
"QCIL6","C","CALTBIF",1.00
"QCIL6","C","VERAVIR",2.00
"QCIL6","C","NEPHCRI",0.10
"QCIL6","C","NEOTCOR",0.10
"QCIL6","C","HUPECON",0.10
"QCIL6","C","CAREX",0.10
"QCIL6","C","VIOLGLA",0.10
"QCIL6","C","COPTASP",0.10
"QCIL6","C","LUZUPAR",0.10
"QCIL6","C","STRUSPI",0.10
"QCIL6","C","RUBUPED",0.10
"QCIL6","C","TIARTRI",0.50
"QCIL6","C","LYCOCLA",0.10
"QCIL6","C","MONEUNI",0.10
"QCIQ10","C","COPTASP",0.50
"QCIQ10","C","STRELAN",0.50
"QCIQ10","C","CAREX",2.00
"QCIQ10","C","RUBUPED",0.50
"QCIQ10","C","HARRSTE",1.00
"QCIQ10","C","VERAVIR",2.00
"QCIQ10","C","TIARTRI",0.50
"QCIQ10","C","LUZULA",0.50
"QCIQ10","C","CALANUT",10.00
"QCIQ10","C","HUPECON",0.50
"QCIQ10","C","STRUSPI",0.50
"QCIQ14","C","STRUSPI",0.50
"QCIQ14","C","HARRSTE",60.00
"QCIQ14","C","TIARTRI",0.50
"QCIQ14","C","COPTASP",0.50
"QCIQ14","C","NEPHCRI",0.50
"QCIQ14","C","CAREX",1.00
"QCIQ14","C","CORNCAN",0.50
"QCIQ14","C","RUBUPED",0.50
"QCIQ14","C","VERAVIR",1.00
"R0126","C","ARCTLAT",0.10
"R0126","C","POLEACU",0.10
"R0126","C","MITENUD",2.00
"R0126","C","LINNBOR",4.00
"R0126","C","FRAGVIR",0.10
"R0126","C","PYROASA",0.10
"R0126","C","LEYMINN",5.00
"R0126","C","ASTRAME",0.10
"R0126","C","CORNCAN",2.00
"R0126","C","EQUIPRA",75.00
"R0126","C","CHAMANG",2.00
"R0126","C","EQUIARV",15.00
"R0126","C","MERTPAN",5.00
"R0126","C","PETAFRI3",5.00
"R0126","C","VACCVIT",3.00
"R3027","C","ARCTLAT",0.10
"R3027","C","ARTETIL",0.10
"R3027","C","EQUIPRA",5.00
"R3027","C","LINNBOR",10.00
"R3027","C","DELPGLA",0.10
"R3027","C","RUBUPUB",1.00
"R3027","C","PETAFRI3",2.00
"R3027","C","OSMORHI",0.10
"R3027","C","CYPRIPE",0.10
"R3027","C","CORNCAN",7.00
"R3027","C","MERTPAN",2.00
"R3027","C","ORTHSEC",4.00
"R3027","C","MITENUD",1.00
"R3039","C","LYCOANN",1.00
"R3039","C","MITENUD",2.00
"R3039","C","CHAMANG",1.00
"R3039","C","GALIBOR",1.00
"R3039","C","VACCVIT",1.00
"R3039","C","MERTPAN",5.00
"R3039","C","EQUIPRA",50.00
"R3039","C","CALACAN",1.00
"R3039","C","CORNCAN",8.00
"R3039","C","RUBUPUB",2.00
"R3039","C","LINNBOR",4.00
"R3039","C","ARTETIL",1.00
"108050","D","PINUCON",1.00
"108050","D","BUCKUND",5.00
"108050","D","PLEUSCH",10.00
"108050","D","DICRFUS",10.00
"108050","D","DREPADU",1.56
"108050","D","ABIELAS",1.00
"108050","D","CLADRAN",0.01
"108050","D","THUJPLI",7.00
"108050","D","MNIUM",5.00
"108050","D","DICRSCO",10.00
"108050x","D","CLADRAN",2.00
"108050x","D","DREPADU",1.56
"108050x","D","DICRSCO",10.00
"108050x","D","DICRFUS",10.00
"108050x","D","PLEUSCH",10.00
"108050x","D","MNIUM",5.00
"108050x","D","BUCKUND",5.00
"1976021","D","HYLOSPL",63.00
"1976022","D","PLATJUN",0.20
"1976022","D","MNIUMAR",0.20
"1976022","D","PLAGROS",0.20
"1976022","D","EURHPUL",0.20
"1976022","D","BLEPTRI",0.20
"1976022","D","CAMPHIP",0.20
"1976022","D","CLADFIM",0.20
"1976022","D","HYLOSPL",63.00
"1976022","D","DISTCAP",0.20
"1976022","D","LEPIREP",0.20
"1976022","D","PTILCRI",18.00
"1976022","D","DITRHET",0.20
"1976022","D","POHLNUT",0.20
"1976025","D","PLAGCIL",0.20
"1976025","D","HYLOSPL",42.00
"1976025","D","PTILCRI",8.00
"1976025","D","CAMPHIP",0.20
"1976025","D","MNIUSPN",0.20
"1976025","D","POHLNUT",0.20
"1976025","D","CAMPCHY",0.20
"1976039","D","PLEUSCH",18.00
"1976039","D","PELTAPH",0.50
"1976039","D","PELTCAN",2.00
"1976039","D","PTILCRI",18.00
"1976039","D","HYLOSPL",18.00
"1976039","D","NEPHHEL",0.20
"1976071","D","BRACREF",0.20
"1976071","D","PLAGDRU",0.20
"1976071","D","HYLOSPL",8.00
"1976071","D","PLEUSCH",4.00
"1976071","D","PLAGELL",4.00
"1976071","D","PLAGMED",0.20
"1976071","D","RHYTTRI",2.00
"1976071","D","PTILCRI",4.00
"1976072","D","PTILCRI",0.20
"1976072","D","BRACOED",0.20
"1976072","D","PLAGRUP",0.20
"1976072","D","CINCSTY",4.00
"1976072","D","HYPNLIN",0.20
"1976072","D","RHYTTRI",18.00
"1976072","D","PLAGASP",0.20
"1976075","D","HYLOSPL",4.00
"1976080","D","PLEUSCH",0.50
"1976080","D","PLAGCUS",0.20
"1976080","D","PTILCRI",4.00
"1976080","D","HYLOSPL",63.00
"1976080","D","THUIREC",0.20
"1976080","D","BRACREF",0.20
"202050","D","RHYTLOR",0.50
"202050","D","PLEUSCH",0.50
"202050","D","PELTAPH",5.00
"202050","D","CLADBEL",0.50
"202050","D","TSUGMER",7.00
"202050","D","CLADRAN",0.50
"202050","D","HYLOSPL",0.50
"202050","D","DICRSCO",0.50
"406250","D","PINUCON1",5.00
"406250","D","MNIUM",8.00
"406250","D","PLEUSCH",5.00
"406250","D","TIMMAUS",15.00
"406250","D","TIMMNOR1",5.00
"406250","D","HYLOSPL",35.00
"406250","D","PTILCRI",35.00
"412150","D","PELTDID",0.50
"412150","D","CLIMDEN",30.00
"412150","D","TOMENIT",1.00
"412150","D","PTILCRI",3.00
"412150","D","RHYTTRI",5.00
"412150","D","TIMMAUS",20.00
"412150","D","AULAPAL",3.00
"412150","D","PLEUSCH",10.00
"412150","D","HYLOSPL",15.00
"412150","D","PELTMEM",1.00
"412150","D","PELTAPH",0.50
"412150","D","SANIUNC",7.00
"412150","D","RHIZGLB",1.00
"412150","D","MNIUM",1.00
"412250","D","POLYSTR",0.50
"412250","D","CLADDEF",0.50
"412250","D","TOMENIT",5.00
"412250","D","CLADMIT",0.50
"412250","D","SPHAGNU",40.00
"412250","D","PLEUSCH",3.00
"412250","D","CLADGRA",0.50
"412250","D","HYLOSPL",45.00
"412250","D","PELTAPH",2.00
"412250","D","SPHACAI",35.00
"412250","D","AULAPAL",7.00
"412250","D","ICMAERI",0.50
"412250","D","PTILCRI",20.00
"412350","D","PELTMAL",0.10
"412350","D","PTILCRI",35.00
"412350","D","PELTAPH",0.10
"412350","D","HYLOSPL",55.00
"412350","D","SANIUNC",1.00
"412350","D","BRACHYT",1.00
"412450","D","PELTAPH",1.00
"412450","D","SANIUNC",3.00
"412450","D","PELTMEM",0.10
"412450","D","CLADCHL",0.10
"412450","D","BRACHYT",7.00
"412450","D","POLYCOM",0.10
"412450","D","PTILCRI",30.00
"412450","D","HYLOSPL",45.00
"412450","D","PLEUSCH",2.00
"5760454","D","HYLOSPL",5.00
"5760463","D","PLAGINS",5.00
"5760808","D","AULAPAL",5.00
"5760808","D","TOMENIT",7.00
"5760808","D","HYLOSPL",7.00
"5760808","D","PTILCRI",7.00
"5760808","D","MNIUM",5.00
"5760808","D","SPHACAI",7.00
"579279","D","DICRFUS",3.00
"579279","D","CLADCAN",1.00
"579279","D","HYLOSPL",3.00
"579279","D","RHYTLOR",8.00
"579279","D","RACOLAN",3.00
"579279","D","CLADONI",0.50
"8229723","D","MNIUM",2.00
"8229723","D","TOMENIT",0.50
"8229723","D","DICRANU",1.00
"8229723","D","SPHACAI",0.10
"8229723","D","HYLOSPL",75.00
"8229723","D","BARBILO",1.00
"8229723","D","PELTAPH",0.10
"8229723","D","PLEUSCH",15.00
"8229723","D","PTILCRI",3.00
"8428935","D","MNIUM",5.00
"8428935","D","BRACHYT",5.00
"8428935","D","HYLOSPL",10.00
"8428935","D","PTILCRI",15.00
"8428942","D","PTILCRI",15.00
"8428942","D","PELTAPH",0.50
"8428942","D","PELTCIN",0.50
"8428942","D","PLEUSCH",80.00
"8428963","D","PLEUSCH",80.00
"8428963","D","HYLOSPL",15.00
"8428963","D","PTILCRI",5.00
"8428970","D","TIMMAUS",20.00
"8428970","D","HYLOSPL",10.00
"8428970","D","PELTIGE",0.50
"8428970","D","PTILCRI",50.00
"8428970","D","PLAGMED",0.50
"8428970","D","PLEUSCH",0.50
"8428975","D","TIMMAUS",5.00
"8428975","D","PELTAPH",0.50
"8428975","D","BARBLYC",1.00
"8428975","D","PELTIGE",0.50
"8428975","D","HYLOSPL",25.00
"8428975","D","PLAGMED",0.50
"8428975","D","PLEUSCH",25.00
"8428975","D","PTILCRI",40.00
"8529415","D","AULAPAL",15.00
"8529415","D","DICRPOL",0.50
"8529415","D","PLEUSCH",5.00
"8529415","D","PTILCRI",5.00
"8529415","D","HYLOSPL",30.00
"8529415","D","TOMENIT",0.50
"8529415","D","RHIZPUN",22.00
"8529649","D","MARCPOL",3.00
"8529649","D","HYLOSPL",60.00
"8529649","D","POHLNUT",1.00
"8529649","D","BRACOED",3.00
"8529649","D","PLEUSCH",20.00
"8529649","D","PTILCRI",8.00
"8529649","D","POLYCOM",5.00
"8529649","D","PELTCAN",1.00
"8529649","D","AULAPAL",2.00
"8529649","D","PLAGMED",2.00
"8529670","D","TOMENIT",5.00
"8529670","D","DICRPOL",3.00
